Start,End,Multiday,ID,Name,Type,Description,Location,Camp,Camp website,Email,Event website
"08/29/2023, 6:00 PM","08/29/2023, 7:30 PM",Y,43322,Beer in Hand Soccer @ New Maradona BRC Stadium,Games,Beer in hand Soccer,Camposanto,Camposanto,https://camposantito.com/,,https://playaevents.burningman.org/2023/playa_event/43322/
"08/30/2023, 6:00 PM","08/30/2023, 7:30 PM",Y,43322,Beer in Hand Soccer @ New Maradona BRC Stadium,Games,Beer in hand Soccer,Camposanto,Camposanto,https://camposantito.com/,,https://playaevents.burningman.org/2023/playa_event/43322/
"08/31/2023, 6:00 PM","08/31/2023, 7:30 PM",Y,43322,Beer in Hand Soccer @ New Maradona BRC Stadium,Games,Beer in hand Soccer,Camposanto,Camposanto,https://camposantito.com/,,https://playaevents.burningman.org/2023/playa_event/43322/
"09/01/2023, 6:00 PM","09/01/2023, 7:30 PM",Y,43322,Beer in Hand Soccer @ New Maradona BRC Stadium,Games,Beer in hand Soccer,Camposanto,Camposanto,https://camposantito.com/,,https://playaevents.burningman.org/2023/playa_event/43322/
"09/02/2023, 6:00 PM","09/02/2023, 7:30 PM",Y,43322,Beer in Hand Soccer @ New Maradona BRC Stadium,Games,Beer in hand Soccer,Camposanto,Camposanto,https://camposantito.com/,,https://playaevents.burningman.org/2023/playa_event/43322/
"09/03/2023, 6:00 PM","09/03/2023, 7:30 PM",Y,43322,Beer in Hand Soccer @ New Maradona BRC Stadium,Games,Beer in hand Soccer,Camposanto,Camposanto,https://camposantito.com/,,https://playaevents.burningman.org/2023/playa_event/43322/
"08/27/2023, 6:00 PM","08/27/2023, 8:00 PM",N,43624,3SP's Living Room is open to all!,Gathering/Party,Hang out on our front-porch as you kick-off Burn week! Welcome home!,3SP (Third Space Place),3SP (Third Space Place),https://www.thirdspaceplace.com/,,https://playaevents.burningman.org/2023/playa_event/43624/
"08/27/2023, 6:00 PM","08/27/2023, 7:30 PM",N,45119,You Again... A Feral Welcome Home Party,Gathering/Party,We're here. You're here. Let's rage. Kick off burn week at Feral Kat's Raccoon Trap. Boozey and non-alcoholic drinks!,Soon to be Infamous,Soon to be Infamous,,,https://playaevents.burningman.org/2023/playa_event/45119/
"08/27/2023, 6:00 PM","08/27/2023, 10:00 PM",Y,41062,Unofficial Playa Civil Unions,Ritual/Ceremony,"Weddings for any beings, with all the trimmings, including rings, veils, top hats and certificate.",Two Lanterns,Two Lanterns,https://www.facebook.com/twolanternsthemecamp,bobo@cruzio.com,https://playaevents.burningman.org/2023/playa_event/41062/
"08/28/2023, 6:00 PM","08/28/2023, 10:00 PM",Y,41062,Unofficial Playa Civil Unions,Ritual/Ceremony,"Weddings for any beings, with all the trimmings, including rings, veils, top hats and certificate.",Two Lanterns,Two Lanterns,https://www.facebook.com/twolanternsthemecamp,bobo@cruzio.com,https://playaevents.burningman.org/2023/playa_event/41062/
"08/29/2023, 6:00 PM","08/29/2023, 10:00 PM",Y,41062,Unofficial Playa Civil Unions,Ritual/Ceremony,"Weddings for any beings, with all the trimmings, including rings, veils, top hats and certificate.",Two Lanterns,Two Lanterns,https://www.facebook.com/twolanternsthemecamp,bobo@cruzio.com,https://playaevents.burningman.org/2023/playa_event/41062/
"08/30/2023, 6:00 PM","08/30/2023, 10:00 PM",Y,41062,Unofficial Playa Civil Unions,Ritual/Ceremony,"Weddings for any beings, with all the trimmings, including rings, veils, top hats and certificate.",Two Lanterns,Two Lanterns,https://www.facebook.com/twolanternsthemecamp,bobo@cruzio.com,https://playaevents.burningman.org/2023/playa_event/41062/
"08/31/2023, 6:00 PM","08/31/2023, 10:00 PM",Y,41062,Unofficial Playa Civil Unions,Ritual/Ceremony,"Weddings for any beings, with all the trimmings, including rings, veils, top hats and certificate.",Two Lanterns,Two Lanterns,https://www.facebook.com/twolanternsthemecamp,bobo@cruzio.com,https://playaevents.burningman.org/2023/playa_event/41062/
"09/01/2023, 6:00 PM","09/01/2023, 10:00 PM",Y,41062,Unofficial Playa Civil Unions,Ritual/Ceremony,"Weddings for any beings, with all the trimmings, including rings, veils, top hats and certificate.",Two Lanterns,Two Lanterns,https://www.facebook.com/twolanternsthemecamp,bobo@cruzio.com,https://playaevents.burningman.org/2023/playa_event/41062/
"09/02/2023, 6:00 PM","09/02/2023, 10:00 PM",Y,41062,Unofficial Playa Civil Unions,Ritual/Ceremony,"Weddings for any beings, with all the trimmings, including rings, veils, top hats and certificate.",Two Lanterns,Two Lanterns,https://www.facebook.com/twolanternsthemecamp,bobo@cruzio.com,https://playaevents.burningman.org/2023/playa_event/41062/
"09/03/2023, 6:00 PM","09/03/2023, 10:00 PM",Y,41062,Unofficial Playa Civil Unions,Ritual/Ceremony,"Weddings for any beings, with all the trimmings, including rings, veils, top hats and certificate.",Two Lanterns,Two Lanterns,https://www.facebook.com/twolanternsthemecamp,bobo@cruzio.com,https://playaevents.burningman.org/2023/playa_event/41062/
"08/27/2023, 6:00 PM","08/27/2023, 9:00 PM",N,45110,Make your Own Pasties or get a Dragon Tattoo,Arts & Crafts,Make and decorate a set of re-usable Craft Foam Pasties to wear on the playa. Or get a temp Dragon Tattoo,DragonCamp Armory,DragonCamp Armory,,dragoncamparmory@gmail.com,https://playaevents.burningman.org/2023/playa_event/45110/
"08/27/2023, 6:00 PM","08/28/2023, 2:00 AM",N,43779,High Noon to Late Night Liftoff Dance Party,Gathering/Party,Kickoff event - All of our camp DJ spinning b2b out-of-this-world tunes and bar Moontang drinks will be flowing strong!,Bad Asstronauts,Bad Asstronauts,https://www.facebook.com/thebadasstronauts/,,https://playaevents.burningman.org/2023/playa_event/43779/
"08/27/2023, 6:00 PM","08/27/2023, 8:00 PM",N,43812,Welcome Home Happy Hours & Shoot Your Balls Off,Gathering/Party,Part bar. Part lounge. Part theater. Part chill. Part Shoot Your Balls Off. Part karaoke. 100% Awkward & Tawdry!,Awkward & Tawdry Lounge,Awkward & Tawdry Lounge,,awkwardandtawdrylounge@outlook.com,https://playaevents.burningman.org/2023/playa_event/43812/
"08/27/2023, 6:00 PM","08/27/2023, 10:00 PM",N,43813,Night Kit-Tea,Food & Drink,Start your Burn with some hot tea and some cool cats! Come enjoy our cozy space while we serve you tea! Room for 50 cats,Cozy Cat Camp,Cozy Cat Camp,https://cozycatcamp.com/,,https://playaevents.burningman.org/2023/playa_event/43813/
"08/27/2023, 6:00 PM","08/27/2023, 10:30 PM",Y,45092,Camp Canteen Open Bar,Gathering/Party,"Stop by our friendly neighborhood bar, pull up a stool, have a drink, get advice on what to see next, and maybe gain a p",Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45092/
"08/28/2023, 6:00 PM","08/28/2023, 10:30 PM",Y,45092,Camp Canteen Open Bar,Gathering/Party,"Stop by our friendly neighborhood bar, pull up a stool, have a drink, get advice on what to see next, and maybe gain a p",Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45092/
"08/29/2023, 6:00 PM","08/29/2023, 10:30 PM",Y,45092,Camp Canteen Open Bar,Gathering/Party,"Stop by our friendly neighborhood bar, pull up a stool, have a drink, get advice on what to see next, and maybe gain a p",Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45092/
"08/30/2023, 6:00 PM","08/30/2023, 10:30 PM",Y,45092,Camp Canteen Open Bar,Gathering/Party,"Stop by our friendly neighborhood bar, pull up a stool, have a drink, get advice on what to see next, and maybe gain a p",Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45092/
"08/31/2023, 6:00 PM","08/31/2023, 10:30 PM",Y,45092,Camp Canteen Open Bar,Gathering/Party,"Stop by our friendly neighborhood bar, pull up a stool, have a drink, get advice on what to see next, and maybe gain a p",Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45092/
"09/01/2023, 6:00 PM","09/01/2023, 10:30 PM",Y,45092,Camp Canteen Open Bar,Gathering/Party,"Stop by our friendly neighborhood bar, pull up a stool, have a drink, get advice on what to see next, and maybe gain a p",Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45092/
"08/27/2023, 6:00 PM","08/28/2023, 12:00 AM",Y,45091,Eye of the Tiger Wake Up Party,Gathering/Party,Gentle daily camp good morning. Crusty Bloody Mary dance party. Slippers and onesies encouraged.,Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45091/
"08/28/2023, 6:00 PM","08/29/2023, 12:00 AM",Y,45091,Eye of the Tiger Wake Up Party,Gathering/Party,Gentle daily camp good morning. Crusty Bloody Mary dance party. Slippers and onesies encouraged.,Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45091/
"08/29/2023, 6:00 PM","08/30/2023, 12:00 AM",Y,45091,Eye of the Tiger Wake Up Party,Gathering/Party,Gentle daily camp good morning. Crusty Bloody Mary dance party. Slippers and onesies encouraged.,Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45091/
"08/30/2023, 6:00 PM","08/31/2023, 12:00 AM",Y,45091,Eye of the Tiger Wake Up Party,Gathering/Party,Gentle daily camp good morning. Crusty Bloody Mary dance party. Slippers and onesies encouraged.,Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45091/
"08/31/2023, 6:00 PM","09/01/2023, 12:00 AM",Y,45091,Eye of the Tiger Wake Up Party,Gathering/Party,Gentle daily camp good morning. Crusty Bloody Mary dance party. Slippers and onesies encouraged.,Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45091/
"09/01/2023, 6:00 PM","09/02/2023, 12:00 AM",Y,45091,Eye of the Tiger Wake Up Party,Gathering/Party,Gentle daily camp good morning. Crusty Bloody Mary dance party. Slippers and onesies encouraged.,Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45091/
"09/02/2023, 6:00 PM","09/03/2023, 12:00 AM",Y,45091,Eye of the Tiger Wake Up Party,Gathering/Party,Gentle daily camp good morning. Crusty Bloody Mary dance party. Slippers and onesies encouraged.,Camp Morning Wood,Camp Morning Wood,,,https://playaevents.burningman.org/2023/playa_event/45091/
"08/27/2023, 6:15 PM","08/28/2023, 6:15 AM",Y,45393,Message in a Bottle--Send Yourself a Lost Letter,Miscellaneous,"Write and stamp a postcard, stuff it in the bottle, receive it many months later (get it? lost letter? Get it?)",Happy Kaos!,Happy Kaos!,,,https://playaevents.burningman.org/2023/playa_event/45393/
"08/28/2023, 6:15 PM","08/29/2023, 6:15 AM",Y,45393,Message in a Bottle--Send Yourself a Lost Letter,Miscellaneous,"Write and stamp a postcard, stuff it in the bottle, receive it many months later (get it? lost letter? Get it?)",Happy Kaos!,Happy Kaos!,,,https://playaevents.burningman.org/2023/playa_event/45393/
"08/29/2023, 6:15 PM","08/30/2023, 6:15 AM",Y,45393,Message in a Bottle--Send Yourself a Lost Letter,Miscellaneous,"Write and stamp a postcard, stuff it in the bottle, receive it many months later (get it? lost letter? Get it?)",Happy Kaos!,Happy Kaos!,,,https://playaevents.burningman.org/2023/playa_event/45393/
"08/30/2023, 6:15 PM","08/31/2023, 6:15 AM",Y,45393,Message in a Bottle--Send Yourself a Lost Letter,Miscellaneous,"Write and stamp a postcard, stuff it in the bottle, receive it many months later (get it? lost letter? Get it?)",Happy Kaos!,Happy Kaos!,,,https://playaevents.burningman.org/2023/playa_event/45393/
"08/31/2023, 6:15 PM","09/01/2023, 6:15 AM",Y,45393,Message in a Bottle--Send Yourself a Lost Letter,Miscellaneous,"Write and stamp a postcard, stuff it in the bottle, receive it many months later (get it? lost letter? Get it?)",Happy Kaos!,Happy Kaos!,,,https://playaevents.burningman.org/2023/playa_event/45393/
"09/01/2023, 6:15 PM","09/02/2023, 6:15 AM",Y,45393,Message in a Bottle--Send Yourself a Lost Letter,Miscellaneous,"Write and stamp a postcard, stuff it in the bottle, receive it many months later (get it? lost letter? Get it?)",Happy Kaos!,Happy Kaos!,,,https://playaevents.burningman.org/2023/playa_event/45393/
"09/02/2023, 6:15 PM","09/03/2023, 6:15 AM",Y,45393,Message in a Bottle--Send Yourself a Lost Letter,Miscellaneous,"Write and stamp a postcard, stuff it in the bottle, receive it many months later (get it? lost letter? Get it?)",Happy Kaos!,Happy Kaos!,,,https://playaevents.burningman.org/2023/playa_event/45393/
"09/03/2023, 6:15 PM","09/04/2023, 6:15 AM",Y,45393,Message in a Bottle--Send Yourself a Lost Letter,Miscellaneous,"Write and stamp a postcard, stuff it in the bottle, receive it many months later (get it? lost letter? Get it?)",Happy Kaos!,Happy Kaos!,,,https://playaevents.burningman.org/2023/playa_event/45393/
"08/27/2023, 6:30 PM","08/27/2023, 7:45 PM",Y,45706,Sunset Naked Run,Gathering/Party,"Run free, with/out clothes on! Meet us at our Pink Dome for a sunset naked run and howl at the end of the day!",Run Free Camp,Run Free Camp,,,https://playaevents.burningman.org/2023/playa_event/45706/
"08/28/2023, 6:30 PM","08/28/2023, 7:45 PM",Y,45706,Sunset Naked Run,Gathering/Party,"Run free, with/out clothes on! Meet us at our Pink Dome for a sunset naked run and howl at the end of the day!",Run Free Camp,Run Free Camp,,,https://playaevents.burningman.org/2023/playa_event/45706/
"08/30/2023, 6:30 PM","08/30/2023, 7:45 PM",Y,45706,Sunset Naked Run,Gathering/Party,"Run free, with/out clothes on! Meet us at our Pink Dome for a sunset naked run and howl at the end of the day!",Run Free Camp,Run Free Camp,,,https://playaevents.burningman.org/2023/playa_event/45706/
"08/31/2023, 6:30 PM","08/31/2023, 7:45 PM",Y,45706,Sunset Naked Run,Gathering/Party,"Run free, with/out clothes on! Meet us at our Pink Dome for a sunset naked run and howl at the end of the day!",Run Free Camp,Run Free Camp,,,https://playaevents.burningman.org/2023/playa_event/45706/
"09/01/2023, 6:30 PM","09/01/2023, 7:45 PM",Y,45706,Sunset Naked Run,Gathering/Party,"Run free, with/out clothes on! Meet us at our Pink Dome for a sunset naked run and howl at the end of the day!",Run Free Camp,Run Free Camp,,,https://playaevents.burningman.org/2023/playa_event/45706/
"09/02/2023, 6:30 PM","09/02/2023, 7:45 PM",Y,45706,Sunset Naked Run,Gathering/Party,"Run free, with/out clothes on! Meet us at our Pink Dome for a sunset naked run and howl at the end of the day!",Run Free Camp,Run Free Camp,,,https://playaevents.burningman.org/2023/playa_event/45706/
"08/27/2023, 6:30 PM","08/27/2023, 7:30 PM",Y,41503,"Come and put some light on, baby!",Class/Workshop,"Looking for a light? Want to look fabulous and stay safe in the dark? Visit us and we will put some light on you, baby!",Lituanica Birds,Lituanica Birds,http://www.lituanicabirds.lt/,,https://playaevents.burningman.org/2023/playa_event/41503/
"08/28/2023, 6:30 PM","08/28/2023, 7:30 PM",Y,41503,"Come and put some light on, baby!",Class/Workshop,"Looking for a light? Want to look fabulous and stay safe in the dark? Visit us and we will put some light on you, baby!",Lituanica Birds,Lituanica Birds,http://www.lituanicabirds.lt/,,https://playaevents.burningman.org/2023/playa_event/41503/
"08/29/2023, 6:30 PM","08/29/2023, 7:30 PM",Y,41503,"Come and put some light on, baby!",Class/Workshop,"Looking for a light? Want to look fabulous and stay safe in the dark? Visit us and we will put some light on you, baby!",Lituanica Birds,Lituanica Birds,http://www.lituanicabirds.lt/,,https://playaevents.burningman.org/2023/playa_event/41503/
"08/30/2023, 6:30 PM","08/30/2023, 7:30 PM",Y,41503,"Come and put some light on, baby!",Class/Workshop,"Looking for a light? Want to look fabulous and stay safe in the dark? Visit us and we will put some light on you, baby!",Lituanica Birds,Lituanica Birds,http://www.lituanicabirds.lt/,,https://playaevents.burningman.org/2023/playa_event/41503/
"08/31/2023, 6:30 PM","08/31/2023, 7:30 PM",Y,41503,"Come and put some light on, baby!",Class/Workshop,"Looking for a light? Want to look fabulous and stay safe in the dark? Visit us and we will put some light on you, baby!",Lituanica Birds,Lituanica Birds,http://www.lituanicabirds.lt/,,https://playaevents.burningman.org/2023/playa_event/41503/
"08/27/2023, 6:30 PM","08/27/2023, 9:00 PM",Y,42762,Nyurmók Microtonal Music Insane Improv Gathering,Ritual/Ceremony,"new and extreme out-of-tune experimental music will be created, bring your instruments to Deepest Playa around sundown",Nyurmok,,,,https://playaevents.burningman.org/2023/playa_event/42762/
"08/28/2023, 6:30 PM","08/28/2023, 9:00 PM",Y,42762,Nyurmók Microtonal Music Insane Improv Gathering,Ritual/Ceremony,"new and extreme out-of-tune experimental music will be created, bring your instruments to Deepest Playa around sundown",Nyurmok,,,,https://playaevents.burningman.org/2023/playa_event/42762/
"08/29/2023, 6:30 PM","08/29/2023, 9:00 PM",Y,42762,Nyurmók Microtonal Music Insane Improv Gathering,Ritual/Ceremony,"new and extreme out-of-tune experimental music will be created, bring your instruments to Deepest Playa around sundown",Nyurmok,,,,https://playaevents.burningman.org/2023/playa_event/42762/
"08/30/2023, 6:30 PM","08/30/2023, 9:00 PM",Y,42762,Nyurmók Microtonal Music Insane Improv Gathering,Ritual/Ceremony,"new and extreme out-of-tune experimental music will be created, bring your instruments to Deepest Playa around sundown",Nyurmok,,,,https://playaevents.burningman.org/2023/playa_event/42762/
"08/31/2023, 6:30 PM","08/31/2023, 9:00 PM",Y,42762,Nyurmók Microtonal Music Insane Improv Gathering,Ritual/Ceremony,"new and extreme out-of-tune experimental music will be created, bring your instruments to Deepest Playa around sundown",Nyurmok,,,,https://playaevents.burningman.org/2023/playa_event/42762/
"09/01/2023, 6:30 PM","09/01/2023, 9:00 PM",Y,42762,Nyurmók Microtonal Music Insane Improv Gathering,Ritual/Ceremony,"new and extreme out-of-tune experimental music will be created, bring your instruments to Deepest Playa around sundown",Nyurmok,,,,https://playaevents.burningman.org/2023/playa_event/42762/
"08/27/2023, 7:00 PM","08/28/2023, 4:00 AM",Y,42806,Giant  Brite Lite,Miscellaneous,Make your own colorful patterns and images like when a kid.,Black Hole Literary Society,Black Hole Literary Society,,lbscarly@gmail.com,https://playaevents.burningman.org/2023/playa_event/42806/
"08/28/2023, 7:00 PM","08/29/2023, 4:00 AM",Y,42806,Giant  Brite Lite,Miscellaneous,Make your own colorful patterns and images like when a kid.,Black Hole Literary Society,Black Hole Literary Society,,lbscarly@gmail.com,https://playaevents.burningman.org/2023/playa_event/42806/
"08/29/2023, 7:00 PM","08/30/2023, 4:00 AM",Y,42806,Giant  Brite Lite,Miscellaneous,Make your own colorful patterns and images like when a kid.,Black Hole Literary Society,Black Hole Literary Society,,lbscarly@gmail.com,https://playaevents.burningman.org/2023/playa_event/42806/
"08/30/2023, 7:00 PM","08/31/2023, 4:00 AM",Y,42806,Giant  Brite Lite,Miscellaneous,Make your own colorful patterns and images like when a kid.,Black Hole Literary Society,Black Hole Literary Society,,lbscarly@gmail.com,https://playaevents.burningman.org/2023/playa_event/42806/
"08/31/2023, 7:00 PM","09/01/2023, 4:00 AM",Y,42806,Giant  Brite Lite,Miscellaneous,Make your own colorful patterns and images like when a kid.,Black Hole Literary Society,Black Hole Literary Society,,lbscarly@gmail.com,https://playaevents.burningman.org/2023/playa_event/42806/
"09/01/2023, 7:00 PM","09/02/2023, 4:00 AM",Y,42806,Giant  Brite Lite,Miscellaneous,Make your own colorful patterns and images like when a kid.,Black Hole Literary Society,Black Hole Literary Society,,lbscarly@gmail.com,https://playaevents.burningman.org/2023/playa_event/42806/
"09/02/2023, 7:00 PM","09/03/2023, 4:00 AM",Y,42806,Giant  Brite Lite,Miscellaneous,Make your own colorful patterns and images like when a kid.,Black Hole Literary Society,Black Hole Literary Society,,lbscarly@gmail.com,https://playaevents.burningman.org/2023/playa_event/42806/
"08/27/2023, 7:00 PM","08/28/2023, 12:00 AM",Y,44976,Fun N Frolics on our Weeble with Fire N Tunes,Gathering/Party,We're here to party come join us each night from 7pm till late.,Disfunktion,Disfunktion,,,https://playaevents.burningman.org/2023/playa_event/44976/
"08/28/2023, 7:00 PM","08/29/2023, 12:00 AM",Y,44976,Fun N Frolics on our Weeble with Fire N Tunes,Gathering/Party,We're here to party come join us each night from 7pm till late.,Disfunktion,Disfunktion,,,https://playaevents.burningman.org/2023/playa_event/44976/
"08/29/2023, 7:00 PM","08/30/2023, 12:00 AM",Y,44976,Fun N Frolics on our Weeble with Fire N Tunes,Gathering/Party,We're here to party come join us each night from 7pm till late.,Disfunktion,Disfunktion,,,https://playaevents.burningman.org/2023/playa_event/44976/
"08/30/2023, 7:00 PM","08/31/2023, 12:00 AM",Y,44976,Fun N Frolics on our Weeble with Fire N Tunes,Gathering/Party,We're here to party come join us each night from 7pm till late.,Disfunktion,Disfunktion,,,https://playaevents.burningman.org/2023/playa_event/44976/
"09/01/2023, 7:00 PM","09/02/2023, 12:00 AM",Y,44976,Fun N Frolics on our Weeble with Fire N Tunes,Gathering/Party,We're here to party come join us each night from 7pm till late.,Disfunktion,Disfunktion,,,https://playaevents.burningman.org/2023/playa_event/44976/
"09/02/2023, 7:00 PM","09/03/2023, 12:00 AM",Y,44976,Fun N Frolics on our Weeble with Fire N Tunes,Gathering/Party,We're here to party come join us each night from 7pm till late.,Disfunktion,Disfunktion,,,https://playaevents.burningman.org/2023/playa_event/44976/
"09/03/2023, 7:00 PM","09/04/2023, 12:00 AM",Y,44976,Fun N Frolics on our Weeble with Fire N Tunes,Gathering/Party,We're here to party come join us each night from 7pm till late.,Disfunktion,Disfunktion,,,https://playaevents.burningman.org/2023/playa_event/44976/
"08/27/2023, 7:00 PM","08/27/2023, 11:00 PM",Y,42853,Sake in Purgatory with Nowhere Portal,Ritual/Ceremony,Contemplate your afterlife in our purgatory cube while you enjoy sake (and miso/ramen on special select nights).,(The Elusive) Golden Guy Alley,,,,https://playaevents.burningman.org/2023/playa_event/42853/
"08/28/2023, 7:00 PM","08/28/2023, 11:00 PM",Y,42853,Sake in Purgatory with Nowhere Portal,Ritual/Ceremony,Contemplate your afterlife in our purgatory cube while you enjoy sake (and miso/ramen on special select nights).,(The Elusive) Golden Guy Alley,,,,https://playaevents.burningman.org/2023/playa_event/42853/
"08/29/2023, 7:00 PM","08/29/2023, 11:00 PM",Y,42853,Sake in Purgatory with Nowhere Portal,Ritual/Ceremony,Contemplate your afterlife in our purgatory cube while you enjoy sake (and miso/ramen on special select nights).,(The Elusive) Golden Guy Alley,,,,https://playaevents.burningman.org/2023/playa_event/42853/
"08/30/2023, 7:00 PM","08/30/2023, 11:00 PM",Y,42853,Sake in Purgatory with Nowhere Portal,Ritual/Ceremony,Contemplate your afterlife in our purgatory cube while you enjoy sake (and miso/ramen on special select nights).,(The Elusive) Golden Guy Alley,,,,https://playaevents.burningman.org/2023/playa_event/42853/
"08/31/2023, 7:00 PM","08/31/2023, 11:00 PM",Y,42853,Sake in Purgatory with Nowhere Portal,Ritual/Ceremony,Contemplate your afterlife in our purgatory cube while you enjoy sake (and miso/ramen on special select nights).,(The Elusive) Golden Guy Alley,,,,https://playaevents.burningman.org/2023/playa_event/42853/
"08/27/2023, 7:00 PM","08/27/2023, 9:00 PM",Y,45133,"Ecstatic Dance, nightly",Yoga/Movement/Fitness,Our brilliant team of DJs bring on the night every Burning Evening!,I Love Elephants,I Love Elephants,https://www.elephantsnow.org/events-burningman,,https://playaevents.burningman.org/2023/playa_event/45133/
"08/28/2023, 7:00 PM","08/28/2023, 9:00 PM",Y,45133,"Ecstatic Dance, nightly",Yoga/Movement/Fitness,Our brilliant team of DJs bring on the night every Burning Evening!,I Love Elephants,I Love Elephants,https://www.elephantsnow.org/events-burningman,,https://playaevents.burningman.org/2023/playa_event/45133/
"08/29/2023, 7:00 PM","08/29/2023, 9:00 PM",Y,45133,"Ecstatic Dance, nightly",Yoga/Movement/Fitness,Our brilliant team of DJs bring on the night every Burning Evening!,I Love Elephants,I Love Elephants,https://www.elephantsnow.org/events-burningman,,https://playaevents.burningman.org/2023/playa_event/45133/
"08/30/2023, 7:00 PM","08/30/2023, 9:00 PM",Y,45133,"Ecstatic Dance, nightly",Yoga/Movement/Fitness,Our brilliant team of DJs bring on the night every Burning Evening!,I Love Elephants,I Love Elephants,https://www.elephantsnow.org/events-burningman,,https://playaevents.burningman.org/2023/playa_event/45133/
"08/31/2023, 7:00 PM","08/31/2023, 9:00 PM",Y,45133,"Ecstatic Dance, nightly",Yoga/Movement/Fitness,Our brilliant team of DJs bring on the night every Burning Evening!,I Love Elephants,I Love Elephants,https://www.elephantsnow.org/events-burningman,,https://playaevents.burningman.org/2023/playa_event/45133/
"09/01/2023, 7:00 PM","09/01/2023, 9:00 PM",Y,45133,"Ecstatic Dance, nightly",Yoga/Movement/Fitness,Our brilliant team of DJs bring on the night every Burning Evening!,I Love Elephants,I Love Elephants,https://www.elephantsnow.org/events-burningman,,https://playaevents.burningman.org/2023/playa_event/45133/
"08/27/2023, 7:00 PM","08/27/2023, 9:00 PM",N,45045,Addison's Dirty Balls,Food & Drink,"Cum eat my delicious raw balls w almond butter, cacao & more to leave an unforgettable aftertaste & sparkle in your eye",Camp Desert of Eden,Camp Desert of Eden,,michellepollard115@gmail.com,https://playaevents.burningman.org/2023/playa_event/45045/
"08/27/2023, 7:00 PM","08/27/2023, 8:00 PM",Y,42125,The Gong Show!,Performance,"Come show us your talent or lack there of... Face the gong and our ""celebrity"" judges!",Videogasm,Videogasm,http://www.videogasm.com,videogasm@gmail.com,https://playaevents.burningman.org/2023/playa_event/42125/
"08/28/2023, 7:00 PM","08/28/2023, 8:00 PM",Y,42125,The Gong Show!,Performance,"Come show us your talent or lack there of... Face the gong and our ""celebrity"" judges!",Videogasm,Videogasm,http://www.videogasm.com,videogasm@gmail.com,https://playaevents.burningman.org/2023/playa_event/42125/
"08/29/2023, 7:00 PM","08/29/2023, 8:00 PM",Y,42125,The Gong Show!,Performance,"Come show us your talent or lack there of... Face the gong and our ""celebrity"" judges!",Videogasm,Videogasm,http://www.videogasm.com,videogasm@gmail.com,https://playaevents.burningman.org/2023/playa_event/42125/
"08/30/2023, 7:00 PM","08/30/2023, 8:00 PM",Y,42125,The Gong Show!,Performance,"Come show us your talent or lack there of... Face the gong and our ""celebrity"" judges!",Videogasm,Videogasm,http://www.videogasm.com,videogasm@gmail.com,https://playaevents.burningman.org/2023/playa_event/42125/
"08/31/2023, 7:00 PM","08/31/2023, 8:00 PM",Y,42125,The Gong Show!,Performance,"Come show us your talent or lack there of... Face the gong and our ""celebrity"" judges!",Videogasm,Videogasm,http://www.videogasm.com,videogasm@gmail.com,https://playaevents.burningman.org/2023/playa_event/42125/
"09/01/2023, 7:00 PM","09/01/2023, 8:00 PM",Y,42125,The Gong Show!,Performance,"Come show us your talent or lack there of... Face the gong and our ""celebrity"" judges!",Videogasm,Videogasm,http://www.videogasm.com,videogasm@gmail.com,https://playaevents.burningman.org/2023/playa_event/42125/
"09/02/2023, 7:00 PM","09/02/2023, 8:00 PM",Y,42125,The Gong Show!,Performance,"Come show us your talent or lack there of... Face the gong and our ""celebrity"" judges!",Videogasm,Videogasm,http://www.videogasm.com,videogasm@gmail.com,https://playaevents.burningman.org/2023/playa_event/42125/
"08/27/2023, 7:00 PM","08/27/2023, 9:00 PM",N,42142,Welcome to the Queerborhood Sunset Block Party,Gathering/Party,"Meet the Future Turtles, known for their irresistible and enchanting qualities, at the Queerborhood HQ. Pillow fort open",Future Turtles,Future Turtles,https://futureturtles.com,,https://playaevents.burningman.org/2023/playa_event/42142/
"08/27/2023, 7:00 PM","08/27/2023, 11:00 PM",N,45116,Center Camp Grand Opening Blow Out Partay!!!!,Gathering/Party,Come Celebrate the Grand Opening of Center Camp.,Center Camp,,,,https://playaevents.burningman.org/2023/playa_event/45116/
